id,recruit.id,coupon.1,coupon.2,coupon.3,degree,sex,age,education,humanitarian,advocacy,development,media,protest,armed,fundraising,institutions,parties,most_recent,employ_status,time_status,formality,cooperation,cooperation_location,syria_pre2011,syria_post2011,trust
1,1,11,12,13,30,2,28,6,1,2,1,1,3,3,2,2,3,4,1,1,2,1,1,1,2,2
2,2,21,22,23,6,1,30,7,1,1,1,3,3,3,3,3,3,1,1,2,2,1,3,2,2,2
3,4,41,42,43,25,1,28,4,2,1,2,1,3,3,2,1,3,4,2,1,2,1,3,2,1,1
4,12,121,122,123,3,1,33,6,1,1,2,1,2,3,1,1,2,8,2,2,2,1,1,2,1,1
5,5,51,52,53,30,1,31,6,1,1,1,1,NA,3,2,3,3,4,2,1,2,1,3,1,1,2
6,3,31,32,33,25,1,26,6,1,1,1,1,1,3,3,1,3,8,1,1,1,1,1,2,2,2
7,22,221,222,223,5,1,29,6,1,2,1,2,3,3,3,3,3,1,1,2,2,1,1,2,2,2
8,11,111,112,113,15,2,25,4,1,2,2,2,3,3,1,3,3,1,2,1,2,1,2,2,1,2
9,111,1111,1112,1113,50,1,28,6,1,1,1,1,1,3,1,1,3,1,2,1,2,1,3,2,1,1
10,113,1131,1132,1133,10,2,28,5,1,1,1,3,3,3,1,3,3,1,2,1,2,1,2,2,2,2
11,21,211,212,213,20,1,22,4,1,2,1,1,3,3,1,3,3,1,2,2,2,1,2,2,2,2
12,1113,11131,11132,11133,3,2,30,5,1,2,2,2,3,3,1,NA,NA,1,2,1,2,1,2,2,2,1
13,1112,11121,11122,11123,5,1,31,6,1,2,2,2,2,3,2,3,3,1,2,1,2,2,NA,2,1,2
14,223,2231,2232,2233,4,2,23,4,2,2,1,3,3,3,2,3,3,3,2,2,1,2,NA,2,2,2
15,131,1311,1312,1313,30,2,30,6,1,1,1,1,3,3,3,1,3,4,3,1,2,1,3,2,1,1
16,11122,111221,111222,111223,50,1,23,4,1,1,2,3,3,3,3,3,3,2,2,2,2,1,2,1,2,2
17,11131,111311,111312,111313,3,2,32,6,1,2,2,2,2,3,2,2,2,1,2,1,2,1,2,1,1,2
18,11121,111211,111212,111213,15,1,24,5,1,1,1,2,3,3,2,3,3,1,2,2,2,1,2,1,1,2
19,11132,111321,111322,111323,3,2,28,4,1,1,2,3,3,3,1,3,3,1,1,1,2,1,2,2,2,2
20,13,131,132,133,15,2,32,6,2,2,2,1,3,3,2,2,3,4,1,1,2,1,1,2,1,2
21,111221,1112211,1112212,1112213,5,1,22,4,2,2,1,2,3,3,2,3,NA,3,2,2,2,1,2,2,2,2
22,1131,11311,11312,11313,15,2,32,4,1,1,2,1,3,3,2,3,3,1,2,2,2,1,1,2,2,2
23,522,5221,5222,5223,5,2,20,5,2,1,2,1,1,3,1,3,3,4,1,2,2,1,3,2,1,2
24,521,5211,5212,5213,5,2,23,4,1,2,2,1,1,3,3,3,3,1,1,1,2,1,2,1,1,2
25,7,71,72,73,10,1,31,6,2,1,1,1,3,3,3,1,3,3,1,2,2,2,NA,2,2,2
26,1112211,11122111,11122112,11122113,4,2,24,4,1,2,1,3,2,3,3,3,3,1,2,1,2,2,NA,2,1,2
27,1112231,11122311,11122312,11122313,4,1,20,4,1,1,1,1,3,2,1,3,3,3,2,3,1,1,2,1,2,1
28,11311,113111,113112,113113,2,2,26,4,2,1,3,3,3,3,2,3,3,2,2,1,2,1,2,2,2,2
29,1112212,11122121,11122122,11122123,5,1,23,4,1,2,1,2,3,3,2,3,3,1,2,2,2,1,2,2,2,2
30,1112213,11122131,11122132,11122133,15,1,22,3,1,2,2,3,3,3,1,2,3,1,2,2,2,1,2,2,1,2
31,111211,1112111,1112112,1112113,20,2,27,6,1,3,3,3,3,3,1,3,3,1,2,2,2,1,2,1,2,2
32,111222,1112221,1112222,1112223,12,1,20,4,1,2,1,2,3,3,3,3,3,3,2,2,2,1,2,2,1,1
33,52,521,522,523,15,1,23,4,2,1,1,1,1,3,3,3,3,4,2,1,2,1,4,2,1,2
34,5221,52211,52212,52213,30,1,45,6,1,1,2,1,3,3,3,1,3,4,3,2,1,1,2,2,1,2
35,52212,522121,522122,522123,50,1,32,4,1,1,2,1,3,3,3,2,3,4,1,1,2,1,3,2,1,2
36,722,7221,7222,7223,20,2,26,4,1,1,1,1,3,3,1,3,3,4,2,2,2,1,2,1,2,2
37,711,7111,7112,7113,20,1,24,4,1,1,1,1,3,3,3,1,3,4,2,2,2,1,3,2,1,2
38,6,61,62,63,30,2,21,4,1,1,2,1,3,3,2,3,3,4,2,1,2,1,3,2,1,2
39,1112222,11122221,11122222,11122223,3,2,20,4,1,1,1,3,3,3,3,3,3,1,2,2,2,1,2,4,4,2
40,72,721,722,723,8,2,27,4,1,1,1,1,3,3,1,3,3,4,2,1,1,1,3,2,1,2
41,1112232,11122321,11122322,11122323,4,1,37,7,1,2,1,1,3,3,3,3,3,1,2,2,1,1,3,1,1,1
42,73,731,732,733,20,2,26,5,1,1,1,1,3,3,1,2,3,2,2,2,2,1,2,2,2,1
43,71,711,712,713,10,1,23,4,1,2,1,1,3,3,3,3,3,4,2,2,1,1,3,2,1,2
44,5212,52121,52122,52123,25,1,28,6,3,1,3,1,1,3,3,3,3,4,1,1,2,1,2,2,1,2
45,723,7231,7232,7233,20,1,24,4,2,1,2,1,3,3,3,3,3,4,1,2,2,1,3,2,2,2
46,5211,52111,52112,52113,10,2,33,7,1,1,1,2,3,3,1,3,3,3,1,1,2,2,NA,1,2,2
47,5222,52221,52222,52223,10,2,42,6,1,1,1,1,3,3,3,2,2,4,5,2,2,1,3,2,1,2
48,521111,5211111,5211112,5211113,50,2,24,6,1,1,3,1,1,3,1,1,1,4,2,2,2,1,3,1,1,2
49,32,321,322,323,10,1,25,6,1,2,1,1,1,3,1,2,2,3,2,2,2,1,2,2,1,2
50,7221,72211,72212,72213,3,2,50,4,1,1,3,3,3,3,3,3,3,3,2,2,1,1,2,2,2,2
51,521112,5211121,5211122,5211123,4,1,32,5,1,2,1,1,1,3,1,3,3,1,2,2,1,1,3,1,1,2
52,52111,521111,521112,521113,22,1,34,4,1,1,1,1,1,3,3,1,3,4,1,1,2,1,3,1,1,2
53,522122,5221221,5221222,5221223,5,1,26,4,1,1,1,1,3,3,3,3,3,4,1,1,2,1,3,2,1,2
54,522121,5221211,5221212,5221213,5,1,30,6,2,2,2,1,3,3,3,1,3,4,1,1,2,1,3,2,1,2
55,11122322,111223221,111223222,111223223,10,1,35,6,1,3,3,3,3,3,3,3,3,1,2,2,2,1,2,2,2,2
56,111223,1112231,1112232,1112233,30,1,20,4,1,1,1,1,2,3,1,2,3,3,2,1,2,1,2,1,2,1
57,33,331,332,333,40,1,19,4,1,1,2,1,1,3,1,2,3,4,2,2,2,1,3,1,1,1
58,111223223,1112232231,1112232232,1112232233,20,1,25,4,1,1,1,1,1,3,1,3,3,3,2,1,2,1,2,1,1,4
59,11122321,111223211,111223212,111223213,20,2,34,5,1,1,1,1,3,3,1,3,3,3,3,1,2,1,3,1,1,2
60,5221212,52212121,52212122,52212123,10,2,32,6,2,2,2,1,3,3,1,2,3,4,1,1,1,1,3,2,1,2
61,52112,521121,521122,521123,3,2,26,4,3,1,2,1,3,3,2,2,2,4,1,2,1,1,2,2,1,2
62,52113,521131,521132,521133,3,1,24,4,2,2,2,1,3,3,3,3,3,4,2,2,2,2,NA,2,2,2
63,5221211,52212111,52212112,52212113,10,1,34,6,2,2,2,1,3,3,2,2,3,4,1,1,1,1,3,2,2,2
64,1112232232,11122322321,11122322322,11122322323,50,1,37,4,1,1,1,1,1,3,1,1,3,1,2,2,1,1,3,2,2,2
65,112,1121,1122,1123,10,2,25,4,1,2,3,2,3,3,1,3,3,1,2,1,2,1,2,2,2,2
66,321,3211,3212,3213,6,2,24,5,2,2,1,1,2,3,2,3,3,3,1,1,2,1,2,2,1,2
67,1112232233,11122322331,11122322332,11122322333,25,2,47,7,1,1,1,2,3,3,2,3,3,3,2,2,1,1,2,1,1,1
68,113112,1131121,1131122,1131123,20,2,32,4,2,2,1,1,3,3,1,2,3,3,2,2,2,1,2,2,2,2
69,521113,5211131,5211132,5211133,14,1,26,6,1,1,2,1,1,3,1,3,3,4,1,1,2,1,3,2,1,2
70,52212121,522121211,522121212,522121213,20,1,35,6,3,3,3,1,3,3,3,3,3,4,2,1,2,1,3,2,1,2
71,1131122,11311221,11311222,11311223,1,2,35,6,2,2,2,1,3,3,1,3,3,3,2,1,2,1,2,1,2,2
72,5211112,52111121,52111122,52111123,9,1,26,4,1,1,1,1,1,3,2,1,3,1,2,2,1,2,NA,2,1,2
73,5211131,52111311,52111312,52111313,30,1,23,4,3,2,3,1,1,3,3,1,3,4,1,1,2,1,3,2,1,1
74,1131121,11311211,11311212,11311213,30,1,32,3,1,1,2,2,3,3,1,3,3,1,2,1,2,1,3,1,2,2
75,11311213,113112131,113112132,113112133,10,1,38,6,1,1,1,1,3,3,3,1,3,3,2,2,2,1,2,1,1,2
76,11122322321,111223223211,111223223212,111223223213,35,1,35,7,1,2,1,1,1,3,1,1,3,1,1,2,2,1,3,1,2,2
77,5211111,52111111,52111112,52111113,22,1,22,4,1,1,1,1,3,3,2,2,3,4,3,1,1,1,3,2,2,2
78,52111122,521111221,521111222,521111223,6,1,25,6,1,2,2,2,2,3,1,1,3,1,1,2,2,1,3,2,1,2
79,52111121,521111211,521111212,521111213,50,1,24,6,1,2,1,1,3,3,3,3,3,1,2,2,2,1,2,2,1,1
80,5211132,52111321,52111322,52111323,3,1,27,6,1,3,2,1,3,3,1,2,3,4,1,1,2,1,3,2,2,2
81,52111123,521111231,521111232,521111233,50,1,28,6,1,2,1,3,3,3,1,3,3,1,2,2,1,1,2,1,2,2
82,521111231,5211112311,5211112312,5211112313,4,1,27,6,1,1,1,3,3,3,1,3,3,1,3,2,2,1,3,1,1,2
83,11122322322,111223223221,111223223222,111223223223,5,1,40,2,1,2,1,3,3,3,3,1,3,1,2,1,2,1,2,2,2,2
84,52111321,521113211,521113212,521113213,15,2,35,6,1,1,1,1,3,3,1,2,2,4,5,2,4,1,3,2,1,2
85,521111232,5211112321,5211112322,5211112323,20,1,24,5,1,1,1,3,1,3,1,3,3,10,1,2,2,1,2,2,1,2
86,11122322323,111223223231,111223223232,111223223233,3,1,26,4,1,1,1,1,1,3,1,1,1,4,1,1,2,1,1,1,2,2
87,5221213,52212131,52212132,52212133,1,1,53,6,3,1,1,1,3,3,3,3,3,2,2,4,1,2,NA,2,1,2
88,521111211,5211112111,5211112112,5211112113,25,1,23,4,1,3,1,1,3,3,1,3,3,1,2,2,2,1,2,2,2,2
89,521111222,5211112221,5211112222,5211112223,12,1,25,4,1,2,2,3,3,3,2,2,3,1,1,2,2,1,3,2,1,2
90,113112131,1131121311,1131121312,1131121313,50,1,44,6,1,3,1,3,3,3,3,3,3,10,2,2,2,1,2,2,2,2
91,111223223211 ,1112232232111,1112232232112,1112232232113,50,1,44,6,1,2,1,1,1,3,1,3,3,3,1,1,2,1,2,1,1,2
92,521111221,5211112211,5211112212,5211112213,10,2,22,4,1,2,2,2,3,3,2,3,3,1,2,2,1,1,2,1,2,2
93,11122133,111221331,111221332,111221333,30,2,21,4,1,1,1,2,3,3,2,3,3,3,3,1,2,1,2,2,2,2
94,5211112111,52111121111,52111121112,52111121113,15,1,26,4,1,2,1,1,3,3,2,3,3,1,3,2,1,1,2,2,1,2
95,521111223,5211112231,5211112232,5211112233,15,1,23,4,1,2,1,1,3,3,1,3,3,1,2,2,1,1,3,2,1,2
96,52212122,522121221,522121222,522121223,25,1,30,4,3,1,1,1,3,3,3,2,2,4,2,1,2,1,1,2,2,2
97,11122131,111221311,111221312,111221313,5,2,27,6,1,2,2,3,1,3,1,1,3,7,2,2,1,2,NA,2,2,2
98,111221333,1112213331,1112213332,1112213333,10,2,30,6,1,3,1,1,3,3,3,2,3,10,2,2,2,1,2,2,2,2
99,111221331,1112213311,1112213312,1112213313,10,2,41,5,1,2,1,3,3,3,3,3,3,1,2,2,2,1,2,2,2,2
100,52111121112,521111211121,521111211122,521111211123,5,2,21,4,1,2,1,2,1,3,1,3,3,1,2,1,1,1,3,2,1,2
101,1112232232112 ,11122322321121,11122322321122,11122322321123,10,2,39,6,1,3,1,2,3,3,3,3,3,3,1,1,2,1,2,2,1,2
102,52111121113,521111211131,521111211132,521111211133,20,2,21,4,1,2,1,2,3,3,1,3,3,3,2,2,1,1,2,2,2,2
103,5211112231,52111122311,52111122312,52111122313,30,1,23,4,1,1,1,2,3,3,2,2,3,3,2,2,1,1,2,2,2,2
104,111221312,1112213121,1112213122,1112213123,5,2,21,4,1,3,2,2,3,3,2,2,3,1,2,1,1,1,2,2,2,2
105,1112232232111 ,11122322321111,11122322321112,11122322321113,5,1,27,6,1,3,1,3,3,3,3,1,1,1,2,2,2,1,3,2,1,2
106,521111223111 ,5211112231111,5211112231112 ,5211112231113,10,1,19,4,2,2,1,2,3,3,3,3,3,3,2,2,2,1,2,2,2,1
107,522121221,5221212211,5221212212,5221212213,30,1,23,4,2,1,2,1,1,3,1,1,3,4,1,1,2,1,3,2,1,2
108,52111113,521111131,521111132,521111133,20,2,31,6,2,2,1,1,3,3,1,3,3,4,2,1,2,1,1,2,2,2
109,52111122311,521111223111 ,521111223112,521111223113,5,1,19,4,1,1,1,2,3,3,3,3,3,3,2,2,2,1,2,2,2,2
110,5211112221,52111122211,52111122212,52111122213,20,2,27,6,1,2,1,1,3,3,2,2,2,1,2,1,2,1,3,2,2,2
111,52111122313,521111223131,521111223132,521111223133,20,1,22,4,1,2,1,1,3,3,3,3,3,1,2,2,1,1,2,2,1,1
112,1112213123,11122131231,11122131232,11122131233,8,2,26,3,2,2,1,3,3,3,2,3,3,3,1,1,2,2,NA,2,2,2
113,5221212212,52212122121,52212122122,52212122123,4,1,32,5,1,2,2,1,3,3,2,1,3,4,2,1,2,1,1,2,1,2
114,5221212213,52212122131,52212122132,52212122133,16,1,28,4,2,2,2,1,3,3,3,2,3,4,2,1,2,1,1,2,2,4
115,111223223213 ,1112232232131,1112232232132,1112232232133,20,1,35,6,1,1,2,1,1,3,3,1,3,4,3,2,2,1,1,2,2,2
116,52212122122,522121221221,522121221222,522121221223,20,1,32,5,2,1,1,1,1,3,3,3,3,4,1,1,2,1,3,2,1,2
117,521111233,5211112331,5211112332,5211112333,60,1,23,6,1,2,2,3,3,3,2,3,3,1,2,2,1,1,2,2,2,2
118,52212122131,522121221311,522121221312,522121221313,3,1,29,4,2,2,1,1,1,3,2,3,3,4,2,1,2,1,1,2,2,2
119,5211112231112 ,52111122311121,52111122311122,52111122311123,9,1,18,4,1,3,1,3,NA,3,3,3,3,3,2,2,1,2,NA,2,2,2
120,521111131,5211111311,5211111312,5211111313,9,2,36,6,2,3,1,1,3,3,3,3,3,4,2,1,2,1,1,1,2,2
121,522121221311 ,5221212213111,5221212213112,5221212213113,40,1,30,6,1,1,1,2,3,3,3,3,3,1,2,1,2,1,2,1,2,2
122,521111223131 ,5211112231311,5211112231312,5211112231313,20,1,24,4,2,2,2,1,3,3,2,3,3,4,2,2,2,2,NA,2,2,2
123,52111122312,521111223121,521111223122,521111223123,5,1,27,4,2,2,1,2,3,3,2,3,3,3,2,2,2,1,2,1,2,2
124,52212122123,522121221231 ,522121221232,522121221233,12,1,26,6,1,2,1,1,3,3,1,1,1,9,2,2,2,1,1,1,2,2
125,522121221313 ,5221212213131,5221212213132,5221212213133,4,1,21,3,2,2,1,2,3,3,3,3,3,3,2,1,2,1,2,2,2,2
126,5211111311,52111113111,52111113112,52111113113,2,1,39,6,2,2,1,2,3,3,3,3,3,3,2,1,2,2,NA,1,1,2
127,522121221231 ,5221212212311,5221212212312,5221212212313,12,2,20,4,1,2,2,1,3,3,1,3,3,4,2,1,2,2,NA,2,2,2
128,521111223112 ,5211112231121,5211112231122,5211112231123,8,1,21,4,1,2,1,1,3,3,3,3,3,1,2,2,2,1,2,2,2,2
129,522121221312 ,5221212213121,5221212213122,5221212213123,60,2,29,5,1,1,1,2,3,3,3,3,3,3,2,2,2,1,2,2,2,2
130,5211112231111 ,52111122311111,52111122311112,52111122311113,30,1,23,3,1,1,1,2,2,3,1,3,3,1,2,2,2,1,3,2,1,2
131,5221212213111 ,52212122131111,52212122131112,52212122131113,30,1,29,6,2,1,1,1,3,3,3,1,3,3,2,2,2,1,2,2,2,2
132,52212122131112 ,522121221311121,522121221311122,522121221311123,20,1,21,5,1,2,1,1,1,3,3,3,3,1,2,1,2,1,2,2,1,2
133,5221212212311 ,52212122123111,52212122123112,52212122123113,1,1,21,4,1,2,2,1,3,3,1,3,3,4,3,2,1,1,2,2,2,2
134,5221212213121 ,52212122131211,52212122131212,52212122131213,10,2,30,4,2,1,1,1,1,1,2,3,3,2,2,2,2,1,2,2,2,2
135,52212122123111 ,522121221231111,522121221231112,522121221231113,4,1,21,3,1,2,2,1,3,NA,1,3,3,7,2,2,1,1,3,2,1,2
136,5221212213112 ,52212122131121,52212122131122,52212122131123,25,1,29,7,1,1,1,1,3,3,3,3,3,3,2,1,2,1,2,2,1,2
137,52111122311113 ,521111223111131 ,521111223111132,521111223111133,25,1,22,4,1,1,1,2,1,3,1,3,3,1,2,2,2,1,3,2,2,2
138,521111223122 ,5211112231221,5211112231222,5211112231223,1,1,27,6,2,2,2,3,3,3,3,3,3,10,2,2,1,2,NA,2,1,1
139,521111223111131 ,5211112231111311,5211112231111312,5211112231111313,50,1,22,5,1,2,2,2,3,3,2,3,3,1,2,2,2,1,2,2,1,2
140,521111223121 ,5211112231211,5211112231212,5211112231213,4,1,24,4,2,2,1,3,3,3,1,3,3,7,2,2,1,1,2,2,2,2
141,52212122121,522121221211,522121221212,522121221213,12,1,23,4,2,2,2,1,3,3,3,2,2,4,1,1,2,1,3,2,1,2
142,52212122131123 ,522121221311231,522121221311232,522121221311233,5,2,42,6,2,1,1,2,3,3,1,3,3,3,2,1,2,1,2,2,2,2
143,5221212211,52212122111,52212122112,52212122113,15,2,32,6,1,1,2,1,3,3,2,3,3,4,1,1,2,1,3,2,2,1
144,5211112231221 ,52111122312211,52111122312212,52111122312213,3,1,24,5,1,3,3,3,3,3,3,3,3,1,2,2,1,1,2,2,2,2
145,52212122131121 ,522121221311211,522121221311212,522121221311213,15,1,21,4,1,3,1,2,3,3,1,3,3,3,2,2,1,1,3,2,2,2
146,52212122123112 ,522121221231121,522121221231122,522121221231123,5,1,20,3,1,3,2,1,3,3,2,3,3,1,2,2,2,1,2,2,2,2
147,522121221213 ,5221212212131,5221212212132,5221212212133,50,1,23,4,1,1,1,1,1,3,3,3,3,4,1,1,1,1,3,1,1,2
148,522121221311212,5221212213112121,5221212213112122,5221212213112123,40,1,24,4,1,2,1,2,3,2,2,2,3,1,2,2,2,1,2,2,2,2
149,5221212212312 ,52212122123121,52212122123122,52212122123123,4,1,19,3,1,3,3,1,3,3,1,3,3,1,2,2,2,1,2,2,2,2
150,522121221311211 ,5221212213112111,5221212213112112,5221212213112113,5,2,19,4,1,1,1,3,3,NA,3,3,3,10,2,2,2,1,2,2,2,2
151,5211112231222 ,52111122312221,52111122312222,52111122312223,7,1,22,4,1,3,3,3,3,3,3,3,3,1,2,2,1,1,2,2,2,2
152,5211112231111313,52111122311113131,52111122311113132,52111122311113133,40,1,22,4,1,2,1,2,3,3,1,3,3,1,2,2,2,1,2,2,2,2
153,52212122111,522121221111,522121221112,522121221113,15,2,28,6,2,2,1,1,3,3,1,3,3,4,1,1,2,1,1,1,2,2
154,5211112112,52111121121,52111121122,52111121123,75,1,20,4,1,2,1,1,1,3,1,2,2,1,2,2,2,1,2,4,4,2
155,52111122311113131,521111223111131311,521111223111131312,521111223111131313,25,2,50,6,1,2,2,1,3,3,3,3,3,1,2,2,1,1,2,2,1,2
156,522121221311213,5221212213112131,5221212213112132,5221212213112133,10,2,23,6,1,1,1,2,1,3,1,3,3,3,2,2,1,1,2,2,2,4
157,52111121122,521111211221,521111211222,521111211223,15,1,25,6,1,1,1,1,1,3,1,1,3,1,2,2,1,1,3,2,1,2
158,521111223122211 ,5211112231222111,5211112231222112,5211112231222113,2,1,24,4,2,3,2,2,1,3,1,3,3,7,2,2,1,1,2,2,1,2
159,52111122312221 ,521111223122211,521111223122212,521111223122213,10,1,22,4,2,2,1,3,3,3,1,3,3,7,2,2,2,1,3,2,1,2
160,52111121121,521111211211,521111211212,521111211213,25,1,19,4,1,2,3,1,1,3,1,3,3,1,3,2,2,1,2,2,2,2
161,5221212213112131,52212122131121311,52212122131121312,52212122131121313,6,2,38,6,1,2,1,3,3,3,1,3,3,3,2,2,1,1,2,1,1,1
162,522121221311121 ,5221212213111211,5221212213111212,5221212213111213,30,1,25,6,1,1,1,1,1,3,1,3,3,1,2,1,2,1,3,1,2,2
163,5211112231222113,52111122312221131,52111122312221132,52111122312221133,5,1,23,4,1,1,1,2,1,3,1,3,3,10,2,2,2,1,3,2,1,2
164,5221212213111211,52212122131112111,52212122131112112,52212122131112113,5,1,40,4,2,1,1,2,3,2,1,3,3,3,2,2,2,1,2,2,2,2
165,52111122312221131,521111223122211311,521111223122211312,521111223122211313,4,1,27,4,1,1,1,1,3,3,3,3,3,1,2,2,2,1,2,2,1,2
166,521111223122211311,5211112231222113111,5211112231222113112,5211112231222113113,6,1,29,4,1,3,1,3,3,3,3,3,3,1,2,1,2,1,2,1,1,2
167,5211112231222113121,52111122312221131211,52111122312221131212,52111122312221131213,8,1,27,6,1,1,1,1,3,3,1,3,3,1,2,1,2,1,3,2,1,2
168,521111223122211312,5211112231222113121,5211112231222113122,5211112231222113123,30,1,28,6,1,3,1,1,3,3,3,3,3,3,2,1,2,1,2,2,2,2
169,52111122312221131211,521111223122211312111,521111223122211312112,521111223122211312113,30,1,24,4,1,2,1,3,3,3,3,3,3,3,2,1,2,1,2,2,2,2
170,5211112231222113122,52111122312221131221,52111122312221131222,52111122312221131223,30,1,23,4,1,2,1,3,3,3,1,3,3,3,2,1,2,1,2,2,1,2
171,521111223122211312111,5211112231222113121111,5211112231222113121112,5211112231222113121113,10,1,27,4,1,1,2,2,3,3,3,3,3,1,2,2,2,1,2,2,2,2
172,521111223122211312113,5211112231222113121131,5211112231222113121132,5211112231222113121133,40,1,24,4,1,1,1,3,3,3,3,3,3,3,2,1,2,1,2,2,2,2
173,521111223122211312112,5211112231222113121121,5211112231222113121122,5211112231222113121123,50,1,30,4,1,1,1,2,3,3,3,3,3,3,2,1,2,1,2,2,1,2
174,5211112231222113111,52111122312221131111,52111122312221131112,52111122312221131113,10,1,29,5,1,1,1,3,1,3,3,1,3,10,1,1,2,1,3,2,1,2
175,5211112231222113121122,52111122312221131211221,52111122312221131211222,52111122312221131211223,2,1,27,6,1,3,1,3,3,3,1,1,3,1,2,2,2,1,2,2,1,2
176,5211112231222113121121,52111122312221131211211,52111122312221131211212,52111122312221131211213,10,1,24,4,1,2,1,3,3,3,3,3,3,3,2,2,2,1,2,2,2,1
